Vocabulary;Lesson;Pronunciation;EnglishDef;PersianDef;Examples
Proceed;23;[pro·ceed || prə'sɪːd];"go on after having stopped; move forward";پس از توقف ادامه دادن ، پیش رفتن;"a. Only those with special cards can proceed into the pool area.

b. When the actor was late, the show proceeded without him.

c. The senator proceeded to denounce those wholesalers who would deprive Americans of their quota of beef."
Precaution;23;[pre·cau·tion || prɪ'kɔːʃn];"measures taken beforehand; foresight";اقدام احتیاطی ، دوراندیشی;"a. Detectives used precaution before entering the bomb's vicinity.

b. We must take every precaution not to pollute the air.

c. Before igniting the fire, the hunters took unusual precaution."
Extract;23;[ex·tract || ɪk'strækt];pull out or draw out, usually with some effort;بیرون کشیدن ، کشیدن ، معمولاً با قدری تلاش;"a. Dr. Fogel extracted my tooth in an amateur fashion.

b. Chemists extracted the essential vitamins from the grain.

c. Spencer was ingenious in extracting information from witnesses."
Prior;23;[pri·or || 'praɪə(r)];"coming before; earlier";آمدن پیش از ، پیشین ، قبلی;"a. Prior to choosing his life's vocation, Paul traveled to India.

b. Myrna was unhappy prior to meeting her beau.

c. Samson had been a strong man prior to having his hair cut."
Embrace;23;[em·brace || ɪm'breɪs];"hug one another; a hug";در آغوش گرفتن ، بغل کردن ، آغوش;"a. After having been rivals for years, the two men embraced.

b. When Ellen's spouse approached, she slipped out of Doug's embrace.

c. The young girl was bewildered when the stranger embraced her."
Valiant;23;[ˈvalyənt];"brave; courageous";شجاع ، دلیر ، پر دل و جرات;"a. Robin Hood was valiant and faced his opponents without fear.

b. The valiant paratroopers led the invasion.

c. Grandma Joad had the ability to be valiant when the need arose."
Partial;23;[par·tial || 'pɑrʃl /'pɑː-];"not complete; not total";نا تمام ، ناقص ، جزئی ، نسبی;"a. We made a partial listing of the urgently needed supplies.

b. Macy's had a sale on a partial selection of its winter clothes.

c. Using only a partial amount of his great speed, Jim Ryun surpassed all the other runners."
Fierce;24;[fɪrs /fɪəs];"savage; wild";وحشی ، خشن;"a. Barry was so fiercely angry that he thrust his hand through the glass.

b. One must take appropriate precautions when approaching fierce dogs.

c. He took one look at his fierce opponent and ran."
Detest;24;[de·test || dɪ'test];"dislike very much; hate";متنفر بودن از ، تنفر داشتن از;"a. The world detests people who aren't valiant.

b. Wally was certain that his girlfriend's parents would detest him because he had been a delinquent.

c. I detest Chinese food but I won't deprive you of the chance to eat it."
Sneer;24;[snɪr /snɪə];"show scorn or contempt by looks or words; a scornful look or remark";با نگاه یا حرف تمسخر و تحقیر نشان دادن ، نگاه یا حرف تمسخر آمیز;"a. The journalists were cautious about sneering at the Secretary of Defense.

b. ""Wipe that sneer off your face!"" the dean told the delinquent.

c. When offered a dime as a tip, the taxi driver sneered at his rider."
Scowl;24;[skaʊl];"look angry by lowering the eyebrows; frown";با پایین آوردن ابرو عصبانی به نظر رسیدن ، اخم کردن;"a. Laverne scowled at her mother when she was prohibited from going out.

b. I dread seeing my father scowl when he gets my report card.

c. Because of a defect in her vision, it always appeared that Polly was scowling."
Encourage;24;[en·cour·age || ɪn'kʌrɪdʒ];"give courage to; increase the confidence of";جرات دادن به ، اعتماد را افزایش دادن;"a. We encouraged the coach to devise a plan for beating Jefferson High.

b. Some unstable persons need to be encouraged to find a vocation.

c. A valiant person rarely needs to be encouraged."
Consider;24;[con·sid·er || kən'sɪdə];think about in order to decide;فکر کردن برای تصمیم گرفتن ، ملاحظه کردن ، اندیشیدن;"a. Jon considered whether a comprehensive report was necessary.

b. Do you consider that dress to be a bargain at the wholesale price?

c. The wrestler was always considered to be the underdog in every match."
Vermin;24;[ver·min || 'vɜrmɪn /'vɜː-];"small animals that are troublesome or destructive; fleas, bedbugs, lice, rats, and mice are vermin";حیوانات کوچکی که مزاحم یا مخرب هستند ، کک ، ساس ، شپش ، موش صحرایی و موش ، حیوانات موذی هستند;"a. One should try to eliminate all vermin from his or her house.

b. Some reptiles eat vermin as their food.

c. Although vermin are not always visible, they probably inhabit every house in the city."
Wail;24;[weɪl];cry loud and long because of grief or pain;به خاطر اندوه یا درد بلند و کشیده فریاد زدن;"a. When tragedy struck, the old people began to wail.

b. In some countries the women are expected to wail loudly after their husbands die.

c. When the Yankees lost the World Series, there was much wailing in New York."
Symbol;24;[sym·bol || 'sɪmbl];something that stands for or represents something else;چیزی که نشانه یا نماینده ی چیز دیگری است;"a. The statue outside the court building is considered a symbol of justice.

b. Symbols for God are prohibited in the Jewish religion.

c. An olive branch is a symbol of peace."
Authority;24;[au·thor·i·ty || ɔː'θɒrətɪ];"the right to command or enforce obedience; power delegated to another; an author or volume that may be appealed to in support of an action or belief";حق تحکم یا اعمال اطاعت ، قدرتی که به دیگری واگذار می شود ، مولف یا کتابی که می توان در تایید یا یک عمل یا باور به آن استناد کرد ، اقتدار;"a. No one should have the authority to dictate our career choice.

b. Today a monarch does not have the authority he once enjoyed.

c. The Supreme Court is entrusted with the authority to interpret our Constitution."
Neutral;24;[neu·tral || 'nuːtrəl /'njuː-];on neither side of a quarrel or war;بیطرف ، خنثی;"a. It is logical to remain neutral in a violent argument between spouses.

b. Switzerland was a neutral country in World War 11.

c. Adolph did not reject the idea but remained neutral about it."
Trifle;24;[tri·fle || 'traɪfl];"a small amount; little bit; something of little value";مقدار کم ، کمی ، چیز کم ارزش;"a. I ate a trifle for dinner rather than a vast meal.

b. Waiter spends only a trifle of his time in studying French.

c. At our meetings Alex always raises trifling objections to any new plan."
Architect;25;[ar·chi·tect || 'ɑːkɪtekt];"a person who makes plans for buildings and other structures; a maker; a creator";شخصی که برای ساختمان ها یا دیگر سازه ها طرح می سازد ، سازنده ، خالق;"a. The famous architect, Frank L10yd Wright, designed his buildings to blend with their surroundings.

b. An architect must have a knowledge of the materials that will be used in his structures.

c. General Eisenhower was the architect of victory over the Nazis In World War 11."
Matrimony;25;[mat·ri·mo·ny || 'mætrɪməʊnɪ /-mənɪ];"married life; ceremony of marriage";زندگی زناشوئی ، مراسم ازدواج;"a. Though matrimony is a holy state, our local governments still collect a fee for the marriage license.

b. Because of lack of money, the sweetness of their matrimony turned sour.

c. Some bachelors find it very difficult to give up their freedom for the blessings of matrimony."
Baggage;25;[bag·gage || 'bægɪdʒ];"the trunks and suitcases a person takes when he or she travels; an army's equipment";کیف ها و چمدان هایی که شخص هنگام سفر با خود می برد ، تجهیزات یک ارتش;"a. When Wait unpacked his baggage, he found he had forgotten his radio.

b. Mrs. Montez checked her baggage at the station and took the children for a walk.

c. The modern army cannot afford to be slowed up with heavy baggage."
Squander;25;[squan·der || 'skwɑndə(r) /'skwɒn-];"spend foolishly; waste";احمقانه خرج یا مصرف کردن ، تلف کردن;"a. Do not squander your money by buying what you cannot use.

b. Because Freddy squandered his time watching television, he could not catch up on his homework.

c. In his will, Mr. Larson warned his children not to squander their inheritance."
Abroad;25;[a·broad || ə'brɔːd];"outside one's country; going around; far and wide";خارج از وطن ، به خارج ، فراگیر ، گسترده;"a. More people are going abroad for vacations.

b. Is there any truth to the rumor abroad that school will be open all summer?

c. The news of the President's illness spread abroad."
Fugitive;25;[fu·gi·tive || 'fjuːdʒɪtɪv];a runaway;فراری ، متواری;"a. Paul was a fugitive from the slums, abandoned by all his friends.

b. After escaping from prison, Tom led an unhappy life as a fugitive from the law.

c. The fugitives from the unsuccessful revolution were captured."
Calamity;25;[ca·lam·i·ty || kə'læmətɪ];"a great misfortune; serious trouble";بدبختی بزرگ ، مشکل جدی;"a. Failure in one test should not be regarded as a calamity.

b. The death of her husband was a calamity which left Mrs. Marlowe numb

c. What is more dismal than one calamity following upon the heels of another?"
Pauper;25;[pau·per || 'pɔːpə(r)];a very poor person;شخص بسیار فقیر;"a. The fire that destroyed his factory made Mr. Bloomson a pauper.

b. The richest man is a pauper if he has no friends.

c. Since he was once a pauper himself, Max is willing to help the needy whenever he can."
Envy;25;[en·vy || 'envɪ];"jealousy; the object of jealousy; to feel jealous";حسادت ، مایه حسادت ، احساس حسادت کردن;"a. Marilyn's selection as Prom Queen made her the envy of every senior.

b. My parents taught me not to envy anyone else's wealth.

c. Our envy of Nora's skating ability is foolish because with practice all of us could do as well."
Collapse;25;[col·lapse || kə'læps];"a breakdown; to fall in; break down; fail suddenly; fold together";فروپاشی ، فرو ریختن ، خراب شدن ، ناگهان فروپاشیدن ، به هم تا کردن;"a. A heavy flood caused the bridge to collapse.

b. His failure in chemistry meant the collapse of Bob's summer plans.

c. Collapse the trays and store them in the closet."
Prosecute;25;[pros·e·cute || 'prɑsɪkjuːt /'prɒ-];"bring before a court; follow up; carry on";به دادگاه احضار کردن ، پیگیری کردن ، ادامه دادن;"a. Drunken drivers should be prosecuted.

b. The district attorney refused to prosecute the case for lack of evidence.

c. The general prosecuted the war with vigor."
Bigamy;25;['big·a·my || 'bɪgəmɪ];having two wives or two husbands at the same time;همزمان دو همسر داشتن ، تعدد زوجات;"a. Some people look upon bigamy as double trouble.

b. Mr. Winkle, looking at his wife, thought bigamy was one crime he would never be guilty of.

c. Some religious groups are in favor of bigamy even though it is against the law of the land."
Beckon;26;[beck·on || 'bekən];"signal by a motion of the hand or head; attract";با حرکت دست یا سر علامت دادن ، جذب کردن;"a. Jack beckoned to me to follow him.

b. The delicious smell of fresh bread beckoned the hungry boy.

c. The sea beckons us to adventure."
Despite;27;[de·spite || dɪ'spaɪt];in spite of;با وجود ، علیرغم;"a. The player continued in the game despite his injuries.

b. Despite his size, Ted put up a good fight.

c. We won the game by a shutout despite the fact that our team got only three hits."
Disrupt;27;[dis·rupt || dɪs'rʌpt];"upset; cause to break down";به هم زدن ، مختل کردن;"a. Pam's clowning disrupted the class every lesson.

b. The storm disrupted the telephone lines throughout the area.

c. The collapse of the government disrupted the services we took for granted, such as mail delivery."
Rash;27;[ræʃ];"a breaking out with many small red spots on the skin; outbreak of many instances within a short time too hasty or careless";شیوع موارد زیاد در زمانی کوتاه ، بسیار شتاب زده یا بی دقت ، کهیر ، جوش;"a. The report of a rash of burglaries in the neighborhood was exaggerated.

b. Poison ivy causes a rash.

c. It is rash to threaten an action you cannot carry out."
Rapid;27;[rap·id || 'ræpɪd];"very quick; swift";بسیار سریع ، تند;"a. We took a rapid walk around the camp before breakfast.

b. If you work rapidly ,you can complete the test in twenty minutes.

c. The response to the surprise attack was a rapid retreat."
Exhaust;27;[ex·haust || ɪg'zɔːst];"empty completely; use up; tire out";کاملاً تمام کردن ، کاملاً استفاده کردن ، خسته کردن;"a. To exhaust the city's water supply would be a calamity

b. The long climb to the top of the mountain exhausted our strength.

c. It we continue to squander our money recklessly, our treasury will soon be exhausted."
Severity;27;[se·ver·i·ty || sɪ'verətɪ];"strictness; harshness; plainness; violence";سخت گیری ، خشونت ، سادگی;"a. The severity of the teacher was not appreciated by the pupils until they reached the final examinations.

b. The severity of the Black Plague can be imagined from the fact that thirty percent of the population died.

c. Rosita complained to the principal about the severity of the punishment which the Student Court gave to her."
Feeble;27;[fee·ble || 'fɪːbl];weak;ضعیف;"a. We heard a feeble cry from the exhausted child.

b. The guide made a feeble attempt to explain why he had taken the wrong turn.

c. The feeble old man collapsed on the sidewalk."
Unite;27;[u·nite || juː'naɪt];"join together; become one";به هم پیوستن ، یکی شدن ، متحد شدن;"a. The thirteen colonies united to form one country.

b. Matrimony united two famous Virginia families.

c. America and Russia were united against a common enemy in World War 11."
Cease;27;[siːs];stop;متوقف کردن ، دست برداشتن از;"a. Cease trying to do more than you can.

b. The whispering in the audience ceased when the curtain went up.

c. When you cease making war, you can then begin to pacify the small villages which the enemy controls."
Thrifty;27;['thrift·y || 'θrɪftɪ];"saving; careful in spending; thriving";صرفه جو ، دقیق در خرج;"a. By being thrifty, Miss Benson managed to get along on her small income.

b. A thrifty person knows that squandering money can lead to financial calamity.

c. By thrifty use of their supplies, the shipwrecked sailors were able to survive for weeks."
Miserly;27;[mi·ser·ly || 'maɪzəlɪ];"stingy; like a miser";خسیس ، خسیس وار;"a. Being miserly with our natural resources will help us to live longer on this earth.

b. A miserly person rarely has any friends.

c. Silas Marner abandoned his miserly habits when Eppie came into his life."
Monarch;27;[mon·arch || 'mɑnərk /'mɒnək];"king or queen; ruler";شاه یا ملکه ، پادشاه ، حاکم ، فرمانروا;"a. There are few modern nations which are governed by monarchs.

b. The monarchs of ancient Rome considered themselves descendants of the gods.

c. Men sometimes believe that they are monarchs in their own homes."
Outlaw;28;[out·law || 'aʊtlɔː];"an exile; an outcast; a criminal; to declare unlawful";تبعیدی ، مطرود ، جانی ، غیر قانونی اعلام کردن;"a. Congress has outlawed the sale of certain drugs.

b. The best known outlaw of the American West was Jesse James.

c. An animal which is cast out by the rest of the pack is known as an outlaw."
Promote;28;[pro·mote || prə'məʊt];"raise in rank or importance; help to grow and develop; help to organize";ارتقاء درجه یا اهمیت ، کمک ب هرشد و توسعه ، کمک به سازمان دهی;"a. Students who pass the test will be promoted to the next grade.

b. An accurate knowledge of other cultures will promote good will among people of different backgrounds.

c. Several bankers invested an enormous sum of money to promote the idea."
Undernourished;28;[ˌəndərˈnəriSHt];not sufficiently fed;مبتلا به سوء تغذیه;"a. The undernourished child was so feeble he could hardly walk.

b. There is evidence that even wealthy people are undernourished because they do not eat sufficient quantities of healthful foods.

c. An infant who drinks enough milk will not be undernourished."
Illustrate;28;[il·lus·trate || 'ɪləstreɪt];"make clear or explain by stories, examples, comparisons, or other means; serve as an example";از طریق داستان ، مثال ، مقایسه با شیوه های دیگر آشکار کردن یا توضیح دادن ، به عنوان مثال به کار رفتن;"a. To illustrate how the heart sends blood around the body, the teacher described how a pump works.

b. This exhibit will illustrate the many uses of atomic energy.

c. These stories illustrate mark Twain's serious side."
Disclose;28;[dis·close || dɪs'kləʊz];"uncover; make known";فاش کردن ، آشکار ساختن;"a. The lifting of the curtain disclosed a beautiful winter scene.

b. This letter discloses the source of his fortune.

c. Samson, reclining in the arms of Delilah, disclosed that the secret of his strength was in his long hair."
Excessive;28;[ex·ces·sive || ɪk'sesɪv];"too much; too great; extreme";بسیار زیاد ، خیلی زیاد ، بی نهایت ، بیش از حد;"a. Pollution of the atmosphere is an excessive price to pay for so-called progress.

b. Numerous attempts have been made to outlaw jet planes that make excessive noise.

c. The inhabitants of Arizona are unaccustomed to excessive rain."
Disaster;28;[dis·as·ter || dɪ'zɑːstə];"an event that causes much suffering or loss; a great misfortune";واقعه ای که باعث رنج و خسارت زیادی می شود ، بدبختی زیاد;"a. The hurricane's violent winds brought disaster to the coastal town.

b. The San Francisco earthquake and the Chicago fire are two of the greatest disasters in American history.

c. The coach considered the captain's injury a disaster for the team."
Censor;28;[cen·sor || 'sensə];"person who tells others how they ought to behave; one who changes books, plays and other works so as to make them acceptable to the government; to make changes in";شخصی که ب هدیگران می گوید که چگونه باید رفتار کنند ، کسی که کتاب ، نمایش نامه و آثار دیگر رار به گونه ای تغییر می دهد که آن ها را برای دولت حاکم قابل قبول می سازد ، تغییر ایجاد کردن;"a. Some governments, national and local, censor books.

b. The censor felt that fiction as well as other books should receive the stamp of approval before they were put on sale.

c. Any mention of the former prime minister was outlawed by the censor."
Culprit;28;[cul·prit || 'kʌlprɪt];"offender; person guilty of a fault or crime";متخطی ، کسی که متهم به گناه یا جرمی است;"a. Who is the culprit who has eaten all the strawberries?

b. The police caught the culprit with the stolen articles in his car.

c. In the Sherlock Holmes story, the culprit turned out to be a snake."
Juvenile;28;[ju·ve·nile || 'dʒuːvənaɪl];"young; youthful; of or for boys and girls; a young person";جوان ، جوان مآبانه ، مربوط به دختر و پسر ، یک فرد جوان;"a. My sister is known in the family as a juvenile delinquent.

b. Paula is still young enough to wear juvenile fashions.

c. Ellen used to devour ""Cinderella"" and other stories for juveniles."
Bait;28;[beɪt];"anything, specially food, used to attract fish or other animals so that they may be caught; anything used to tempt or attract a person to begin something he or she does not wish to do; to put bait on (a hook) or in (a trap); torment by unkind or annoying remarks";هر چیزی ، خصوصاً غذا ، که از آن برای جذب ماهی ها و دیگر حیوانات استفاده می شود که به توان آن هارا گرفت ، هر چیزی کهبرای وسوسه کردن یا جذب یک شخص استفاده می شود تا کاری را شروع کند که میل به انجام آن را ندارد ، طعمه ای را روی یک قلاب یا دام قرار دادن ، با حرف های نامهربانانه یا آزار دهنده کسی را اذیت کردن;"a. The secret of successful trout fishing is finding the right bait.

b. How can you expect to bait Mike into running for the class presidency when he has already refused every appeal?

c. Eddie is a good hunter because he knows the merit of each kind of bait for the different animals."
Insist;28;[in·sist || ɪn'sɪst];keep firmly to some demand, statement, or position;سخت به یک خواسته ، کفته یا موضعی پایبند بودن;"a. Mother insists that we do our homework before we start the long telephone conversations.

b. She insisted that Sal was not jealous of his twin brother.

c. The doctor insisted that Marian get plenty of rest after the operation."
Toil;29;[tɔɪl];"hard work; to work hard; move with difficulty";کار سخت ، سخت کار کردن ، به سختی کار کردن;"a. The feeble old man toiled up the hill.

b. After years of toil, scientists disclosed that they had made progress in controlling the dreaded disease.

c. Despite all his toil, Fred never succeeded in reaching his goal."
Blunder;29;[blun·der || 'blʌndə];"stupid mistake; to make a stupid mistake; stumble; say clumsily";اشتباه احمقانه ، مرتکب اشتباه احمقانه ای شدن ، تلوتلو خوردن ، با دستپاچگی گفتن;"a. The exhausted boy blundered through the woods.

b. Sert's awkward apology could not make up for his serious blunder.

c. The general's blunder forced his army to a rapid retreat."
Daze;29;[deɪz];confuse;گیج کردن;"a. The severity of the blow dazed the fighter and led to his defeat.

b. When he ventured out of the house at night, the child was dazed by the noise and the lights.

c. Dazed by the flashlight, Maria blundered down the steps."
Mourn;29;[mɔrn /mɔːn];"grieve; feel or show sorrow for";غصه دار بودن ، ابراز یا احساس اندوه کردن;"a. Sandra did not cease to mourn her lost friend.

b. The entire city mourned for the people lost in the calamity.

c. We need not mourn over trifles."
Subside;29;[sub·side || səb'saɪd];"sink to a lower level; grow less";به سطح پایین تری فرو رفتن ، کمتر شدن;"a. After the excessive rains stopped, the flood waters subsided.

b. The waves subsided when the winds ceased to blow.

c. Danny's anger subsided when the culprit apologized."
Maim;29;[meɪm];"cripple; disable; cause to lose an arm, leg, or other part of the body";معلول کردن ، ناتوان ساختن ، باعث از دست دادن بازو پا یا بخش دیگری از بدن شدن;"a. Auto accidents maim many persons each year.

b. Though he went through an awesome experience in the crash, Fred was not seriously maimed.

c. Car manufacturers insist that seat belts can prevent the maiming of passengers in the event of a crash."
Comprehend;29;[com·pre·hend || ‚kɒmprɪ'hend];understand;درک کردن;"a. If you can use a word correctly, there is a good chance that you comprehend it.

b. You need not be a pauper to comprehend fully what hunger is.

c. My parents say that they cannot comprehend today's music."
Commend;29;[com·mend || kə'mend];"praise; hand over for safekeeping";ستودن ، تحویل دادن;"a. Everyone commended the mayor's thrifty suggestion.

b. Florence commended the baby to her aunt's care.

c. The truth is that we all like to be commended for good work."
Final;29;[fi·nal || 'faɪnl];"coming last; deciding";آخر از همه می آید ، تعیین کننده;"a. The final week of the term is rapidly approaching.

b. Jose was commended for his improvement in the final test.

c. The final censor of our actions is our own conscience."
Exempt;29;[ex·empt || ɪg'zempt];"make free from; freed from";معاف یا آزاد کردن از ، مستثنی از;"a. Our school exempts bright pupils from final exams.

b. School property is exempt from most taxes.

c. Juvenile offenders are not exempt from punishment."
Vain;29;[veɪn];"having too much pride in one's ability, looks, etc.; of no use";به توانایی و چهره خود غرور زیاد ورزیدن ، بی فایده;"a. Josephine is quite vain about her beauty.

b. To be perfectly frank, I do not see what she has to be vain about.

c. Brian made numerous vain attempts to reach the doctor by telephone."
Repetition;29;[rep·e·ti·tion || ‚repɪ'tɪʃn];act of doing or saying again;عمل دوباره گفتن یا دوباره انجام دادن;"a. The repetition of new words in this book will help you to learn them.

b. Any repetition of such unruly behavior will be punished.

c. After a repetition of his costly mistake, Jerry was fired from his job."
Depict;30;[de·pict || dɪ'pɪkt];"represent by drawing or painting; describe";با ترسیم یا نقاشی نشان دادن ، توصیف کردن;"a. The artist and the author both tried to depict the sunset's beauty.

b. Mr. Salinger depicted the juvenile character with great accuracy,

c. The extent of the disaster can scarcely be depicted in words."
Mortal;30;[mor·tal || 'mɔrtl /'mɔːtl];"sure to die sometime; pertaining to man; deadly; pertaining to or causing death";قطعاً زمانی از بین می رود ، مربوط به انسان ، کشنده ، مربوط به مرگ یا باعث مرگ می شود ;"a. We must live with the knowledge that all living creatures are mortal.

b. His rash venture brought him to a mortal illness.

c. The two monarchs were mortal enemies."
Novel;30;[nov·el || 'nɑvl /'nɒvl];"new; strange; a long story with characters and plot";تازه ، عجیب ، داستانی طولانی دارای شخصیت و طرح;"a. The architect created a novel design which pleased everyone.

b. The novel plan caused some unforeseen problems.

c. Robert was commended by his teacher for the excellent report on the American novel, The Grapes of Wrath."
Occupant;30;['oc·cu·pant || 'ɑkjəpənt /ɒkjʊp-];person in possession of a house, office, or position;فرد مالک یک خانه ، دفتر یا منصب;"a. A feeble old woman was the only occupant of the shack.

b. The will disclosed that the occupant of the estate was penniless.

c. The occupant of the car beckoned us to follow him."
Appoint;30;[ap·point || ə'pɔɪnt];"decide on; set a time or place; choose for a position; equip or furnish";انتخاب کردن ، زمان یا مکانی را مشخص کردن ، برای مقامی انتخاب کردن ، مجهز یا مبلمان کردن;"a. The library was appointed as the best place for the urgent meeting.

b. Though Mr. Thompson was appointed to a high position, he did not neglect his old friends.

c. The occupant of the well-appointed guest room considered himself quite fortunate."
Quarter;30;[quar·ter || 'kwɔrtə(r) /'kwɔːtə];"region; section; (quarters) a place to live; to provide a place to live";منطقه ، بخش ، مکانی برای زندگی کردن ، مکانی برای زندگی فراهم کردن;"a. The large family was unaccustomed to such small quarters.

b. Ellen moved to the French Quarter of our city.

c. The city quartered the paupers in an old school."
Site;30;[saɪt];position or place (of anything);موقعیت یا مکان ( چیزی ) ;"a. The agent insisted that the house had one of the best sites in town.

b. We were informed by our guide that a monument would be built on the site of the historic battle.

c. For the site of the new school, the committee preferred an urban location."
Quote;30;[kwəʊt];"repeat exactly the words of another or a passage from a book; that is, something that is repeated exactly; give the price of; a quotation";دقیقاً حرف های شخص دیگری یا متنی از کتابی را تکرا کردن ، یعنی چیزی که دقیقاً تکرار می شود ، یک نقل قول;"a. She often quotes her spouse to prove a point.

b. The stockbroker quoted gold at a dollar off yesterday's closing price.

c. Biblical quotes offer a unique opportunity for study."
Verse;30;[vɜrs / vɜːs-];"a short division of a chapter in the Bible; a single line or a group of lines of poetry";بخش کوتاهی از فصلی در انجیل ، یک سطر یا چند سطر شعر;"a. The verse from the Bible which my father quoted most frequently was, ""Love thy neighbor as thyself.""

b. Several verses of a religious nature were contained in the document.

c. Though it is not always easy to comprehend, Shakespeare's verse has merit that is worth the toil."
Morality;30;[mo·ral·i·ty || mə'ræləɪtɪ];"the right or wrong of an action; virtue; a set of rules or principles of conduct";درستی یا نادرستی یک عمل ، فضیلت ، مجموعه ای از قوانین یا اصول اخلاقی;"a. The editor spoke on the morality of bugging the quarters of a political opponent.

b. We rarely consider the morality of our daily actions ,though that should occupy a high position in our thinking.

c. Kenny's unruly behavior has nothing to do with his lack of morality."
Roam;30;[rəʊm];"wander; go about with no special plan or aim";سرگردان بودن ، بی هیچ هدف یا برنامه خاصی به هر سو رفتن;"a. In the days of the Wild West, outlaws roamed the country.

b. A variety of animals once roamed our land.

c. The bachelor promised his girlfriend that he would roam no more."
Attract;30;[at·tract || ə'trækt];"draw to oneself; win the attention and liking of";به طرف خود کشیدن ، توجه و علاقه ی کسی را بدست آوردن;"a. The magnet attracted the iron particles.

b. Adventure was the thrill which attracted the famous mountain climber to the jagged peak.

c. A glimpse into the brightly colored room attracted the children's attention."
Commuter;31;[com'mut·er || -tə];one who travels regularly, especially over a considerable distance between home and work;کسی که مرتب مسافت قابل ملاحظه ی منزل و محل کار را می پیماید;"a. The average commuter would welcome a chance to live in the vicinity of his or her work.

b. Have your commuter's ticket verified by the conductor.

c. A novel educational program gives college credit to commuters who listen to a lecture while they are traveling to work."
Confine;31;[con·fine || 'kɒnfaɪn];"keep in; hold in";حبس کردن ، زندانی کردن;"a. The fugitive was caught and confined to jail for another two years.

b. A virus that was circulating in the area confined AI to his house.

c. Polio confined President Roosevelt to a wheelchair."
Idle;31;[i·dle || 'aɪdl];"not doing anything; not busy; lazy; without any good reason or cause; to waste (time)";هیچ کاری انجام نمی دهد ، مشغول نیست ، تنبل ، بی هیچ دلیل یا علت وقت تلف کردن;"a. Any attempt to study was abandoned by the student, who idled away the morning.

b. The idle hours of a holiday frequently provide the best time to take stock.

c. Do not deceive yourself into thinking that these are just idle rumors."
Idol;31;[i·dol || 'aɪdl];"a thing, usually an image, that is worshiped; a person or thing that is loved very much";چیزی که ستایش می شود ، معمولاً یک نصویر ، شخص یا چیزی که خیلی محبوب است;"a. This small metal idol illustrates the art of ancient Rome.

b. John Wayne was the idol of many young people who liked cowboy movies.

c. Scientists are still trying to identify this idol found in the ruins."
Jest;31;[dʒest];"joke; fun; mockery; thing to be laughed at; to jock; poke fun";جک ، خنده ، تمسخر ، چیزی که باید به آن خندید ، دست انداختن ، مسخره کردن;"a. Though he spoke in jest, Mark was undoubtedly giving us a message.

b. Do not jest about matters of morality.

c. In some quarters, honesty and hard work have become subjects of jest."
Patriotic;31;[pa·tri·ot·ic || ‚peɪtrɪ'ɑtɪk /‚pætrɪ'ɒ-];"loving one's country; showing love and loyal support for one's country";عاشق کشور خود ، نسبت به کشور خود عاشقانه و وفادارانه حمایت نشان می دهد;"a. It is patriotic to accept your responsibilities to your country.

b. The patriotic attitude of the captive led him to refuse to cooperate with the enemy.

c. Nathan Hate's patriotic statement has often been quoted: ""I regret that I have but one life to give for my country."""
Valor;31;[ˈvalər];"bravery; courage";شجاعت ، جرات;"a. The valor of the Vietnam veterans deserves the highest com me ndation.

b. No one will dispute the valor of Washington's men at Valley Forge.

c. The fireman's valor in rushing into the flaming house saved the occupants from a horrid fate."
Lunatic;31;[lu·na·tic || 'luːnətɪk];"crazy person; insane; extremely foolish";شخص دیوانه ، لایعقل ، بسیار احمقاته;"a. Only a lunatic would willingly descend into the monster's cave.

b. Certain lunatic ideas persist even though they have been rejected by all logical minds.

c. My roommate has some lunatic ideas about changing the world."
Vein;31;[veɪn];"mood; a blood vessel that carries blood to the heart; a crack or seam in a rock filled with a different mineral";خلق و خو ، رگ خونی که خون را به قلب حمل می کند  ،شکاف یا درز داخل یک تخته سنگ که با یک ماده ی معدنی متفاوت پر شده است;"a. A vein of lunacy seemed to run in the family.

b. Mario's wrist was severely cut by the rock, causing his vein to bleed heavily.

c. Explorations disclosed the rich vein of copper in the mountain."
Uneventful;31;[ˌʌnɪˈvɛntfʊl];without important or striking happenings;بدون رخدادی مهم ی اقابل ملاحظه;"a. After the variety of bewildering experiences at the start of our trip, we were happy that the rest of the journey was 

uneventful.

b. Our annual class outing proved quite uneventful.

c. The meeting seemed uneventful but expert observers realized that important decisions were being made."
Fertile;31;[fer·tile || 'fɜrtl /'fɜːtaɪl];"bearing seeds or fruit; producing much of anything";میوه یا بذر می دهد ، از هر چیز زیاد تولید می کند;"a. Chicks hatch from fertile eggs.

b. The loss of their fertile lands threw the farmers into a panic.

c. A fertile mind need never be uneasy about finding life uneventful."
Refer;32;[re·fer || rɪ'fɜr /-'fɜː];"hand over; send, direct, or turn for information, help, or action; (refer to) direct attention to or speak about; assign to or think of as caused by";تحویل دادن ، فرستادن ، هدایت کردن ، یا رو کردن برای اطاعت ، کمک یا اقدام ، معطوف داشتن یا سخن گفتن پیرامون;"a. Let us refer the dispute to the dean.

b. Our teacher referred us to the dictionary for the meanings of the difficult words in the novel.

c. The speaker referred to a verse in the Bible to support his theory."
